ID;Region;Region_edu;Dominio;P1;P2;P3;P4;P9B1;conoce_web;usa_web;P9C1;P9B2;conoce_TV;usa_TV;P9C2;P9B3;conoce_radio;usa_radio;P9C3;P9B4;conoce_digital;usa_digital;P9C4;P9A5;P9B5;usa_impreso;P9C5;P10;P10a;P11;P11a;P11b;P11c;P11d;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29a;P29b;P30;P31;P32;P33;P34;P35;P36;P37;P38;NNA_asisten;cober_salud;pers_amb;hacinam;hacina2;perd_empleo;perc_AUH;perc_IFE;auh_ife;acceso_comp;dispo_comp;compu_NNA;acceso_int;tipo_int;acceso_TIC;NEA;clima;clima_dico;VSEH;VSEH_dico;tipo_SE;pondera_preliminar;pondera_definitivo
118;AMBA;1;1;1;;4;2;3;1;3;;3;1;3;;4;2;3;;4;2;3;;2;;3;;2; ;1;1;0;0;0;2;2;3;1;1;3;2;1;2;1;2;3;1;1;8;2;2;2;;9;1;1;3;3;3;2;2;2;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;9;2;4;2;1;179;02
203;AMBA;1;5;1;;3;1;5;2;3;;5;2;3;;5;2;3;;5;2;3;;2;;3;;99; ;2;0;2;0;0;2;2;4;1;1;1;2;;3;;2;1;1;;5;2;1;;1;;1;2;3;1;1;1;3;3;1;1;01;1;1;2;2;2;4;1;1;1;1;1;1;2;5;2;4;2;1;3.020;3.255
519;AMBA;1;3;1;;4;2;4;2;3;;2;1;2;2;3;1;3;;3;1;3;;2;;3;;99; ;1;0;1;0;0;2;2;2;1;2;;;;2;;2;3;1;1;5;2;2;1;;3;1;3;1;3;1;1;3;3;1;1;02;2;1;2;2;2;4;2;3;3;1;1;3;2;3;1;4;2;1;1.044;61
801;AMBA;1;5;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;0;1;0;2;2;2;1;2;;;;3;;2;3;1;1;5;2;1;;1;;1;3;3;3;1;1;2;3;1;1;02;2;1;2;2;2;4;2;3;3;1;1;3;2;5;2;4;2;1;813;02
802;AMBA;1;3;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;1;0;1;0;0;2;1;2;1;1;3;2;;2;;1;1;2;;6;2;2;1;;8;1;1;3;2;1;1;2;3;2;1;02;2;1;2;2;1;3;1;1;1;1;2;1;2;8;2;2;1;1;4.018;4.480
804;AMBA;1;5;1;;4;2;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;2; ;2;0;1;1;0;2;2;2;1;1;1;2;;4;;2;3;1;1;6;2;1;;1;;1;3;3;3;1;1;3;3;2;1;02;2;1;2;2;2;4;1;1;2;1;1;1;2;6;2;4;2;1;7.369;7.961
813;AMBA;1;5;1;;6;4;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;1;1;0;0;2;2;4;1;1;3;2;1;4;1;1;3;2;2;8;2;1;;1;;1;1;1;3;3;1;1;1;4;1;02;1;1;2;2;2;4;1;1;2;1;2;1;2;8;2;4;2;1;7.591;8.800
910;AMBA;1;5;1;;5;3;4;2;3;;3;1;3;;4;2;3;;4;2;3;;2;;3;;2; ;2;0;0;2;0;2;2;5;1;1;2;2;;4;;1;3;1;1;9;1;1;;2;;1;2;2;3;1;1;2;3;3;1;01;1;1;2;2;2;4;1;1;2;1;1;1;2;9;2;4;2;1;7.503;8.377
1015;AMBA;1;2;1;;3;2;3;1;3;;2;1;2;2;3;1;3;;3;1;3;;1;3;3;;2; ;1;0;0;0;1;1;2;2;1;1;1;2;;1;;2;3;1;1;5;2;1;;3;;1;2;3;2;2;2;3;3;2;2;02;1;1;1;1;2;2;1;1;2;1;1;1;2;5;2;3;2;1;2.079;2.580
1016;AMBA;1;2;1;;4;2;5;2;3;;1;1;1;1;4;2;3;;4;2;3;;1;1;1;1;1;libros;1;0;1;0;0;2;2;3;1;1;1;2;;4;;2;3;1;1;9;1;1;;1;;1;3;3;3;2;1;3;3;2;1;01;1;1;2;2;2;4;1;1;2;1;1;1;2;9;2;4;2;1;2.079;2.580
1505;AMBA;1;3;1;;3;2;3;1;3;;1;1;1;1;4;2;3;;4;2;3;;1;1;1;2;2; ;1;0;0;1;0;2;2;2;1;1;1;2;;2;;2;1;1;;7;2;1;;2;;1;1;3;3;1;1;3;3;2;1;02;1;1;2;2;2;4;1;1;2;1;1;1;2;7;2;4;2;1;2.285;2.836
2104;AMBA;1;3;1;;4;2;4;2;3;;4;2;3;;4;2;3;;4;2;3;;2;;3;;1;libros de cuentos;2;1;1;0;0;2;2;2;1;1;3;2;1;2;1;2;3;2;2;8;1;1;;1;;2;1;1;3;3;1;1;3;1;1;02;2;1;2;2;2;4;1;1;1;1;2;1;2;8;2;4;2;1;455;02
2110;AMBA;1;5;1;;4;2;3;1;3;;3;1;3;;3;1;3;;3;1;3;;2;;3;;2; ;2;0;0;2;0;2;2;2;1;1;1;2;;3;;1;1;1;;8;2;2;2;;4;1;3;3;3;3;1;3;3;1;1;02;2;1;2;2;2;4;1;1;1;1;1;1;2;4;1;4;2;1;1.684;97
2119;AMBA;1;3;1;;4;2;3;1;3;;2;1;2;2;4;2;3;;4;2;3;;2;;3;;2; ;2;2;0;0;0;1;2;3;1;1;1;2;2;2;2;2;3;1;1;7;2;2;1;;8;1;3;2;3;3;1;3;3;2;1;01;1;1;2;1;2;2;1;2;2;1;1;1;2;8;2;4;2;1;4.201;4.683
2219;AMBA;1;3;1;;4;2;3;1;3;;2;1;2;2;3;1;3;;2;1;2;2;1;2;2;2;2; ;1;0;0;1;0;2;1;2;1;1;2;2;;2;;1;3;1;1;8;2;1;;1;;1;1;3;3;1;1;2;3;2;1;02;2;1;2;2;1;3;1;1;1;1;1;1;2;8;2;2;1;1;3.668;4.089
3506;AMBA;1;1;2;1;4;2;4;2;3;;2;1;2;2;4;2;3;;4;2;3;;1;2;2;2;2; ;2;0;0;2;0;1;1;2;1;2;;;;2;;2;2;;2;5;1;1;;3;;1;2;3;3;1;2;3;1;1;2;02;2;1;2;1;1;1;2;3;3;2;3;4;2;5;2;1;1;1;113;01
